line,intended_word,heard_line,cer_line,note
L05,بيكم,أهلا بكم يا جماعة في يلا فلونت  أنا محمود والنهاردة هنعيش مع مكان في دبي,0.067,missing/mismatched — check SCRIPT SPELLING first
L05,محمود،,أهلا بكم يا جماعة في يلا فلونت  أنا محمود والنهاردة هنعيش مع مكان في دبي,0.067,missing/mismatched — check SCRIPT SPELLING first
L05,مكال,أهلا بكم يا جماعة في يلا فلونت  أنا محمود والنهاردة هنعيش مع مكان في دبي,0.067,missing/mismatched — check SCRIPT SPELLING first
L05,دباي,أهلا بكم يا جماعة في يلا فلونت  أنا محمود والنهاردة هنعيش مع مكان في دبي,0.067,missing/mismatched — check SCRIPT SPELLING first
L06,مكال,ميكال بيسجل voice note لأمه وبيقول إن كل حاجة تمام,0.231,missing/mismatched — check SCRIPT SPELLING first
L06,ڤويس,ميكال بيسجل voice note لأمه وبيقول إن كل حاجة تمام,0.231,missing/mismatched — check SCRIPT SPELLING first
L06,نوت,ميكال بيسجل voice note لأمه وبيقول إن كل حاجة تمام,0.231,missing/mismatched — check SCRIPT SPELLING first
L06,لامه،,ميكال بيسجل voice note لأمه وبيقول إن كل حاجة تمام,0.231,missing/mismatched — check SCRIPT SPELLING first
L09,يلا،,يلا نسمع القصة مع بعض,0.056,missing/mismatched — check SCRIPT SPELLING first
L45,صوتكم،,إحنا هنسمع صوتكو ونشجعكو واحد واحد  المكان ده بيتكو,0.093,missing/mismatched — check SCRIPT SPELLING first
L45,ونشجعكم,إحنا هنسمع صوتكو ونشجعكو واحد واحد  المكان ده بيتكو,0.093,missing/mismatched — check SCRIPT SPELLING first
L45,بيتكم,إحنا هنسمع صوتكو ونشجعكو واحد واحد  المكان ده بيتكو,0.093,missing/mismatched — check SCRIPT SPELLING first
